,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Event Name,Event Type,Department,Event Date,Feedback Comments,Overall Satisfaction
0,340,5,2,7,6,9,2,1,8,AI Workshop,Workshop,Computer Science,03/01/2024,Amazing and very helpful!,5.00
1,253,6,5,8,6,2,1,2,9,Robotics Challenge,Tech Fest,Mechanical,07/01/2024,Amazing and very helpful!,4.88
2,680,7,7,6,5,4,2,3,1,Business Seminar,Seminar,Business,11/01/2024,Disorganized and waste of time.,4.38
3,806,9,6,7,1,5,9,4,6,Cultural Night,Cultural,Student Affairs,15/01/2024,"It was okay, but could be better.",5.88
4,632,8,10,8,4,6,6,9,9,Code-a-thon,Tech Fest,Computer Science,19/01/2024,Amazing and very helpful!,7.50
5,832,7,2,7,8,3,5,1,4,AI Workshop,Workshop,Computer Science,23/01/2024,Disorganized and waste of time.,4.63
6,772,9,3,5,2,10,3,8,1,Robotics Challenge,Tech Fest,Mechanical,27/01/2024,Disorganized and waste of time.,5.13
7,961,9,8,7,4,4,3,3,10,Business Seminar,Seminar,Business,31/01/2024,Amazing and very helpful!,6.00
8,814,6,5,8,6,4,4,7,9,Cultural Night,Cultural,Student Affairs,04/02/2024,Amazing and very helpful!,6.13
9,863,5,9,4,7,9,4,4,5,Code-a-thon,Tech Fest,Computer Science,08/02/2024,"It was okay, but could be better.",5.88
10,576,10,3,8,6,6,3,6,9,AI Workshop,Workshop,Computer Science,12/02/2024,Amazing and very helpful!,6.38
11,702,8,4,7,1,2,1,8,8,Robotics Challenge,Tech Fest,Mechanical,16/02/2024,Amazing and very helpful!,4.88
12,541,5,4,4,2,2,7,8,1,Business Seminar,Seminar,Business,20/02/2024,Disorganized and waste of time.,4.13
13,552,5,6,7,2,7,4,4,2,Cultural Night,Cultural,Student Affairs,24/02/2024,Disorganized and waste of time.,4.63
14,510,6,7,8,3,4,7,7,6,Code-a-thon,Tech Fest,Computer Science,28/02/2024,"It was okay, but could be better.",6.00
15,159,7,7,6,6,3,9,3,1,AI Workshop,Workshop,Computer Science,03/03/2024,Disorganized and waste of time.,5.25
16,223,9,10,4,5,7,10,10,6,Robotics Challenge,Tech Fest,Mechanical,07/03/2024,"It was okay, but could be better.",7.63
17,807,8,3,4,2,2,4,6,1,Business Seminar,Seminar,Business,11/03/2024,Disorganized and waste of time.,3.75
18,525,9,9,4,3,5,5,9,2,Cultural Night,Cultural,Student Affairs,15/03/2024,Disorganized and waste of time.,5.75
19,799,5,6,5,4,2,1,1,7,Code-a-thon,Tech Fest,Computer Science,19/03/2024,"It was okay, but could be better.",3.88
20,24,9,10,6,10,2,10,1,9,AI Workshop,Workshop,Computer Science,23/03/2024,Amazing and very helpful!,7.13
21,509,8,2,7,5,2,3,4,4,Robotics Challenge,Tech Fest,Mechanical,27/03/2024,Disorganized and waste of time.,4.38
22,797,9,10,4,10,9,2,10,7,Business Seminar,Seminar,Business,31/03/2024,"It was okay, but could be better.",7.63
23,418,8,8,6,7,9,5,2,8,Cultural Night,Cultural,Student Affairs,04/04/2024,Amazing and very helpful!,6.63
24,48,5,5,4,2,1,10,10,9,Code-a-thon,Tech Fest,Computer Science,08/04/2024,Amazing and very helpful!,5.75
25,657,9,5,7,3,2,8,10,6,AI Workshop,Workshop,Computer Science,12/04/2024,"It was okay, but could be better.",6.25
26,864,9,8,5,2,3,9,2,8,Robotics Challenge,Tech Fest,Mechanical,16/04/2024,Amazing and very helpful!,5.75
27,861,5,6,4,5,4,4,6,6,Business Seminar,Seminar,Business,20/04/2024,"It was okay, but could be better.",5.00
28,118,9,10,7,7,4,6,9,1,Cultural Night,Cultural,Student Affairs,24/04/2024,Disorganized and waste of time.,6.63
29,387,7,3,8,1,6,8,6,8,Code-a-thon,Tech Fest,Computer Science,28/04/2024,Amazing and very helpful!,5.88
30,282,5,6,7,3,8,1,1,9,AI Workshop,Workshop,Computer Science,02/05/2024,Amazing and very helpful!,5.00
31,503,8,6,6,3,3,6,4,10,Robotics Challenge,Tech Fest,Mechanical,06/05/2024,Amazing and very helpful!,5.75
32,934,5,6,4,6,10,3,4,10,Business Seminar,Seminar,Business,10/05/2024,Amazing and very helpful!,6.00
33,781,8,3,4,5,1,8,10,5,Cultural Night,Cultural,Student Affairs,14/05/2024,"It was okay, but could be better.",5.50
34,898,10,10,4,3,5,4,2,1,Code-a-thon,Tech Fest,Computer Science,18/05/2024,Disorganized and waste of time.,4.88
35,474,8,3,7,6,4,3,7,7,AI Workshop,Workshop,Computer Science,22/05/2024,"It was okay, but could be better.",5.63
36,704,9,9,8,6,8,4,8,5,Robotics Challenge,Tech Fest,Mechanical,26/05/2024,"It was okay, but could be better.",7.13
37,977,9,5,4,4,6,3,1,9,Business Seminar,Seminar,Business,30/05/2024,Amazing and very helpful!,5.13
38,454,9,6,6,1,10,8,10,7,Cultural Night,Cultural,Student Affairs,03/06/2024,"It was okay, but could be better.",7.13
39,295,5,7,6,3,1,7,2,9,Code-a-thon,Tech Fest,Computer Science,07/06/2024,Amazing and very helpful!,5.00
40,35,10,6,4,5,6,2,3,1,AI Workshop,Workshop,Computer Science,11/06/2024,Disorganized and waste of time.,4.63
41,304,9,9,4,6,5,1,7,2,Robotics Challenge,Tech Fest,Mechanical,15/06/2024,Disorganized and waste of time.,5.38
42,56,6,9,6,8,9,6,2,4,Business Seminar,Seminar,Business,19/06/2024,Disorganized and waste of time.,6.25
43,922,8,10,7,4,5,9,3,5,Cultural Night,Cultural,Student Affairs,23/06/2024,"It was okay, but could be better.",6.38
44,569,10,7,6,9,2,6,2,5,Code-a-thon,Tech Fest,Computer Science,27/06/2024,"It was okay, but could be better.",5.88
45,186,6,4,4,4,6,9,10,10,AI Workshop,Workshop,Computer Science,01/07/2024,Amazing and very helpful!,6.63
46,258,7,2,7,2,7,2,6,10,Robotics Challenge,Tech Fest,Mechanical,05/07/2024,Amazing and very helpful!,5.38
47,560,8,7,8,3,8,7,4,8,Business Seminar,Seminar,Business,09/07/2024,Amazing and very helpful!,6.63
48,621,10,4,5,1,5,10,1,10,Cultural Night,Cultural,Student Affairs,13/07/2024,Amazing and very helpful!,5.75
49,568,10,7,4,6,10,8,10,8,Code-a-thon,Tech Fest,Computer Science,17/07/2024,Amazing and very helpful!,7.88
50,393,6,9,8,7,5,8,1,4,AI Workshop,Workshop,Computer Science,21/07/2024,Disorganized and waste of time.,6.00
51,12,8,10,7,2,8,9,6,6,Robotics Challenge,Tech Fest,Mechanical,25/07/2024,"It was okay, but could be better.",7.00
52,798,7,2,8,7,10,5,3,5,Business Seminar,Seminar,Business,29/07/2024,"It was okay, but could be better.",5.88
53,740,8,10,7,3,2,10,10,1,Cultural Night,Cultural,Student Affairs,02/08/2024,Disorganized and waste of time.,6.38
54,184,10,9,8,6,4,8,8,9,Code-a-thon,Tech Fest,Computer Science,06/08/2024,Amazing and very helpful!,7.75
55,410,7,2,5,2,6,6,3,10,AI Workshop,Workshop,Computer Science,10/08/2024,Amazing and very helpful!,5.13
56,480,10,6,7,8,5,3,1,5,Robotics Challenge,Tech Fest,Mechanical,14/08/2024,"It was okay, but could be better.",5.63
57,84,7,4,6,10,7,7,8,9,Business Seminar,Seminar,Business,18/08/2024,Amazing and very helpful!,7.25
58,89,9,9,4,5,1,2,3,9,Cultural Night,Cultural,Student Affairs,22/08/2024,Amazing and very helpful!,5.25
59,763,6,9,6,7,6,10,2,5,Code-a-thon,Tech Fest,Computer Science,26/08/2024,"It was okay, but could be better.",6.38
60,86,7,8,6,8,3,10,2,7,AI Workshop,Workshop,Computer Science,30/08/2024,"It was okay, but could be better.",6.38
61,867,6,4,6,4,2,7,5,3,Robotics Challenge,Tech Fest,Mechanical,03/09/2024,Disorganized and waste of time.,4.63
62,248,6,6,4,6,6,6,2,3,Business Seminar,Seminar,Business,07/09/2024,Disorganized and waste of time.,4.88
63,751,7,3,8,10,2,7,2,6,Cultural Night,Cultural,Student Affairs,11/09/2024,"It was okay, but could be better.",5.63
64,522,6,9,8,10,9,5,3,6,Code-a-thon,Tech Fest,Computer Science,15/09/2024,"It was okay, but could be better.",7.00
65,696,5,5,4,9,3,1,8,6,AI Workshop,Workshop,Computer Science,19/09/2024,"It was okay, but could be better.",5.13
66,274,8,2,4,7,10,8,5,8,Robotics Challenge,Tech Fest,Mechanical,23/09/2024,Amazing and very helpful!,6.50
67,921,9,7,5,10,10,9,6,4,Business Seminar,Seminar,Business,27/09/2024,Disorganized and waste of time.,7.50
68,957,6,2,7,8,5,9,5,4,Cultural Night,Cultural,Student Affairs,01/10/2024,Disorganized and waste of time.,5.75
69,88,9,4,4,9,9,9,7,10,Code-a-thon,Tech Fest,Computer Science,05/10/2024,Amazing and very helpful!,7.63
70,149,5,6,5,1,8,9,7,8,AI Workshop,Workshop,Computer Science,09/10/2024,Amazing and very helpful!,6.13
71,737,7,9,4,5,5,2,2,1,Robotics Challenge,Tech Fest,Mechanical,13/10/2024,Disorganized and waste of time.,4.38
72,891,7,2,4,9,6,9,7,9,Business Seminar,Seminar,Business,17/10/2024,Amazing and very helpful!,6.63
73,1,9,6,8,7,6,5,3,10,Cultural Night,Cultural,Student Affairs,21/10/2024,Amazing and very helpful!,6.75
74,868,7,9,7,2,6,2,9,4,Code-a-thon,Tech Fest,Computer Science,25/10/2024,Disorganized and waste of time.,5.75
75,895,5,5,7,7,2,1,8,9,AI Workshop,Workshop,Computer Science,29/10/2024,Amazing and very helpful!,5.50
76,638,9,10,8,2,1,1,4,8,Robotics Challenge,Tech Fest,Mechanical,02/11/2024,Amazing and very helpful!,5.38
77,707,5,6,6,5,1,9,6,9,Business Seminar,Seminar,Business,06/11/2024,Amazing and very helpful!,5.88
78,432,9,9,6,8,2,3,2,4,Cultural Night,Cultural,Student Affairs,10/11/2024,Disorganized and waste of time.,5.38
79,988,7,4,6,7,6,9,7,1,Code-a-thon,Tech Fest,Computer Science,14/11/2024,Disorganized and waste of time.,5.88
80,742,7,7,8,2,1,1,8,1,AI Workshop,Workshop,Computer Science,18/11/2024,Disorganized and waste of time.,4.38
81,730,6,5,4,5,6,6,7,2,Robotics Challenge,Tech Fest,Mechanical,22/11/2024,Disorganized and waste of time.,5.13
82,321,5,7,6,2,3,5,3,5,Business Seminar,Seminar,Business,26/11/2024,"It was okay, but could be better.",4.50
83,904,8,5,8,9,7,9,8,6,Cultural Night,Cultural,Student Affairs,30/11/2024,"It was okay, but could be better.",7.50
84,171,6,10,4,6,1,6,2,3,Code-a-thon,Tech Fest,Computer Science,04/12/2024,Disorganized and waste of time.,4.75
85,695,10,4,4,1,5,8,7,1,AI Workshop,Workshop,Computer Science,08/12/2024,Disorganized and waste of time.,5.00
86,498,8,5,4,5,10,7,1,10,Robotics Challenge,Tech Fest,Mechanical,12/12/2024,Amazing and very helpful!,6.25
87,446,7,8,5,10,10,2,5,9,Business Seminar,Seminar,Business,16/12/2024,Amazing and very helpful!,7.00
88,982,9,10,7,5,6,6,1,5,Cultural Night,Cultural,Student Affairs,20/12/2024,"It was okay, but could be better.",6.13
89,981,7,6,7,5,4,6,8,3,Code-a-thon,Tech Fest,Computer Science,24/12/2024,Disorganized and waste of time.,5.75
90,849,6,10,6,7,7,4,10,7,AI Workshop,Workshop,Computer Science,28/12/2024,"It was okay, but could be better.",7.13
91,297,7,10,6,8,10,10,2,8,Robotics Challenge,Tech Fest,Mechanical,01/01/2025,Amazing and very helpful!,7.63
92,713,8,6,7,5,2,7,10,8,Business Seminar,Seminar,Business,05/01/2025,Amazing and very helpful!,6.63
93,192,8,4,8,6,3,5,1,5,Cultural Night,Cultural,Student Affairs,09/01/2025,"It was okay, but could be better.",5.00
94,561,9,6,4,8,6,8,3,3,Code-a-thon,Tech Fest,Computer Science,13/01/2025,Disorganized and waste of time.,5.88
95,364,6,6,7,9,6,4,7,6,AI Workshop,Workshop,Computer Science,17/01/2025,"It was okay, but could be better.",6.38
96,40,6,7,5,6,10,5,6,3,Robotics Challenge,Tech Fest,Mechanical,21/01/2025,Disorganized and waste of time.,6.00
97,521,5,9,4,2,1,8,3,7,Business Seminar,Seminar,Business,25/01/2025,"It was okay, but could be better.",4.88
98,201,8,2,8,9,8,8,9,4,Cultural Night,Cultural,Student Affairs,29/01/2025,Disorganized and waste of time.,7.00
99,780,6,4,4,10,6,5,6,8,Code-a-thon,Tech Fest,Computer Science,02/02/2025,Amazing and very helpful!,6.13
100,853,7,9,4,8,9,4,10,2,AI Workshop,Workshop,Computer Science,06/02/2025,Disorganized and waste of time.,6.63
101,202,5,6,6,10,3,4,2,8,Robotics Challenge,Tech Fest,Mechanical,10/02/2025,Amazing and very helpful!,5.50
102,421,6,3,8,10,6,8,7,9,Business Seminar,Seminar,Business,14/02/2025,Amazing and very helpful!,7.13
103,671,9,8,6,10,10,7,7,8,Cultural Night,Cultural,Student Affairs,18/02/2025,Amazing and very helpful!,8.13
104,334,5,9,4,3,8,10,4,2,Code-a-thon,Tech Fest,Computer Science,22/02/2025,Disorganized and waste of time.,5.63
105,843,6,8,5,4,5,5,10,6,AI Workshop,Workshop,Computer Science,26/02/2025,"It was okay, but could be better.",6.13
106,57,10,7,6,10,4,4,2,4,Robotics Challenge,Tech Fest,Mechanical,02/03/2025,Disorganized and waste of time.,5.88
107,353,6,7,5,3,6,6,7,5,Business Seminar,Seminar,Business,06/03/2025,"It was okay, but could be better.",5.63
108,681,7,2,7,5,2,1,3,7,Cultural Night,Cultural,Student Affairs,10/03/2025,"It was okay, but could be better.",4.25
109,394,6,3,6,10,7,4,3,3,Code-a-thon,Tech Fest,Computer Science,14/03/2025,Disorganized and waste of time.,5.25
110,188,7,6,8,9,9,8,9,10,AI Workshop,Workshop,Computer Science,18/03/2025,Amazing and very helpful!,8.25
111,641,5,10,6,7,4,2,5,4,Robotics Challenge,Tech Fest,Mechanical,22/03/2025,Disorganized and waste of time.,5.38
112,544,10,7,8,4,6,5,7,8,Business Seminar,Seminar,Business,26/03/2025,Amazing and very helpful!,6.88
113,163,9,3,4,7,3,8,6,8,Cultural Night,Cultural,Student Affairs,30/03/2025,Amazing and very helpful!,6.00
114,283,9,2,6,1,2,10,5,5,Code-a-thon,Tech Fest,Computer Science,03/04/2025,"It was okay, but could be better.",5.00
115,820,6,5,4,9,2,5,10,7,AI Workshop,Workshop,Computer Science,07/04/2025,"It was okay, but could be better.",6.00
116,254,6,6,6,8,9,4,4,8,Robotics Challenge,Tech Fest,Mechanical,11/04/2025,Amazing and very helpful!,6.38
117,221,9,6,8,1,8,2,5,6,Business Seminar,Seminar,Business,15/04/2025,"It was okay, but could be better.",5.63
118,736,8,2,8,8,2,6,5,4,Cultural Night,Cultural,Student Affairs,19/04/2025,Disorganized and waste of time.,5.38
119,280,9,10,4,7,7,3,5,4,Code-a-thon,Tech Fest,Computer Science,23/04/2025,Disorganized and waste of time.,6.13
120,976,5,2,5,5,7,9,4,3,AI Workshop,Workshop,Computer Science,27/04/2025,Disorganized and waste of time.,5.00
121,481,9,10,8,9,1,3,1,9,Robotics Challenge,Tech Fest,Mechanical,01/05/2025,Amazing and very helpful!,6.25
122,80,7,6,4,1,5,6,1,8,Business Seminar,Seminar,Business,05/05/2025,Amazing and very helpful!,4.75
123,473,10,10,7,5,2,6,10,5,Cultural Night,Cultural,Student Affairs,09/05/2025,"It was okay, but could be better.",6.88
124,762,10,7,5,7,8,9,3,4,Code-a-thon,Tech Fest,Computer Science,13/05/2025,Disorganized and waste of time.,6.63
125,385,5,2,6,7,3,2,10,1,AI Workshop,Workshop,Computer Science,17/05/2025,Disorganized and waste of time.,4.50
126,195,9,7,5,5,10,10,5,1,Robotics Challenge,Tech Fest,Mechanical,21/05/2025,Disorganized and waste of time.,6.50
127,144,8,6,5,6,3,8,2,6,Business Seminar,Seminar,Business,25/05/2025,"It was okay, but could be better.",5.50
128,767,10,10,8,3,9,6,4,8,Cultural Night,Cultural,Student Affairs,29/05/2025,Amazing and very helpful!,7.25
129,300,6,8,4,5,5,9,5,4,Code-a-thon,Tech Fest,Computer Science,02/06/2025,Disorganized and waste of time.,5.75
130,580,5,2,5,8,6,5,4,9,AI Workshop,Workshop,Computer Science,06/06/2025,Amazing and very helpful!,5.50
131,216,5,9,8,2,4,8,9,10,Robotics Challenge,Tech Fest,Mechanical,10/06/2025,Amazing and very helpful!,6.88
132,583,9,3,4,6,5,3,8,7,Business Seminar,Seminar,Business,14/06/2025,"It was okay, but could be better.",5.63
